RC92,KANOSH RESERVATION,A
RD36,LOOKOUT RANCHERIA,A
RD92,KOOSHAREM RESERVATION,A
RE36,MONTGOMERY CREEK RANCHERIA,A
RF36,ROARING CREEK RANCHERIA,A
RG36,XL RANCH,A
RU40,BATTLE MOUNTAIN BAND,A
RV40,ELKO INDIAN COLONY,A
RV72,CARSON COLONY,A
RW40,ODGERS RANCH,A
RW72,DRESSLERVILLE COLONY,A
RX40,RUBY VALLEY COLONY,A
RX72,STEWART COMMUNITY,A
RY40,SOUTH FORK BAND,A
RY72,WOODFORDS COMMUNITY,A
RZ40,WELLS COLONY,A
RZ72,WASHOE RANCHES,A
T001,CHEROKEE RESERVATION,A
T006,ONONDAGA RESERVATION,A
T007,ST. REGIS MOHAWK RESERVATION,A
T008,TONAWANDA RESERVATION,A
T009,TUSCARORA RESERVATION,A
T011,ONEIDA RESERVATION (NEW YORK),A
T013,CAYUGA NATION OF NEW YORK,A
T014,PASSAMAQUODDY TRIBE (INDIAN TOWNSHIP),A
T015,PASSAMAQUODDY TRIBE (PLEASANT POINT),A
T016,PASSAMAQUODDY HOMESTEAD TRUST LANDS,A
T018,PENOBSCOT RESERVATION,A
T019,HOULTON BAND OF MALISEET,A
T020,MASHANTUCKET PEQUOT RESERVATION,A
T026,MICCOSUKEE RESERVATION,A
T027,NARRAGANSETT RESERVATION,A
T028,POARCH CREEK RESERVATION,A
T030,WAMPANOAG TRIBE OF GAY HEAD (AQUINNAH) OF MASSACHUSETTS,A
T031,AROOSTOCK BAND,A
T032,CATAWBA RESERVATION,A
T033,MOHEGAN INDIAN TRIBE OF CONNECTICUT,A
T034,"JENA BAND OF CHOCTAW INDIANS, LOUISIANA",A
T336,TUNICA-BILOXI RESERVATION,A
T480,POKAGON BAND OF POTAWATOMI INDIANS OF MICHIGAN,A
T804,WICHITA AND AFFILIATED TRIBES,A
T825,"DELAWARE TRIBE OF INDIANS, OKLAHOMA",A
T901,ALABAMA-QUASSARTE TRIBAL TOWN OF THE CREEK NATION OF OKLAHOM,A
T902,KIALEGEE TRIBAL TOWN OF THE CREEK INDIAN NATION OF OKLAHOMA,A
T903,THLOPTHLOCCO TRIBAL TOWN (CREEK),A
T904,UNITED KEETOOWAH BAND OF CHEROKEE INDIANS OF OKLAHOMA,A
T905,CHEROKEE NATION OF OKLAHOMA,A
T906,"CHICKASAW NATION, OKLAHOMA",A
T907,CHOCTAW NATION OF OKLAHOMA,A
T908,"MUSCOGEE (CREEK) NATION, OKLAHOMA",A
T909,SEMINOLE NATION OF OKLAHOMA,A
T930,OSAGE RESERVATION,A
T970,CHITIMACHA RESERVATION,A
T971,COUSHATTA RESERVATION,A
T980,CHOCTAW RESERVATION,A
TW21,BIG CYPRESS RESERVATION,A
TX04,ALLEGANY RESERVATION,A
TX21,BRIGHTON RESERVATION,A
TY04,CATTARAUGUS RESERVATION,A
TY21,HOLLYWOOD (DANIA) RESERVATION,A
TZ04,OIL SPRINGS RESERVATION,A
TZ21,SEMINOLE HOMESTEAD TRUST LANDS,A
V001,GOLDEN HILL RESERVATION (STATE),A
V002,HASSANAMISCO RESERVATION (STATE),A
V003,MASHPEE WAMPANOAG RESERVATION (STATE),A
V004,MATTAPONI RESERVATION (STATE),A
V005,PAMUNKEY RESERVATION (STATE),A
V006,PAUCATUCK EASTERN PEQUOT RESERVATION (STATE),A
V007,RANKOKUS RESERVATION (STATE),A
V008,SCHAGHTICOKE RESERVATION (STATE),A
V009,SHINNECOCK RESERVATION (STATE),A
V010,TAMA RESERVATION (STATE),A
V011,POOSPATUCK RESERVATION,A
W001,APACHE CHOCTAW TDSA (STATE),A
W002,CHICKAHOMINY TDSA (STATE),A
W003,CLIFTON CHOCTAW TDSA (STATE),A
W004,COHARIE TDSA (STATE),A
W005,DELAWARE-MUNCIE TDSA (STATE),A
W006,EASTERN CHICKAHOMINY TDSA (STATE),A
W007,FLORIDA TRIBE OF EASTERN CREEK TDSA (STATE),A
W008,HALIWA-SAPONI TDSA (STATE),A
W009,LUMBEE TDSA (STATE),A
W010,MEHERRIN TDSA (STATE),A
W011,RAMAPOUGH TDSA (STATE),A
W012,UNITED HOUMA NATION TDSA (STATE),A
W013,WACCAMAUW SIOUAN TDSA (STATE),A
X001,COQUILLE INDIAN TDSA,A
X002,JENA BAND OF CHOCTAW TDSA,A
X003,KLAMATH TDSA,A
X004,MOHEGAN TDSA,A
X005,PONCA TDSA,A
X006,WAMPANOAG-GAY HEAD TDSA,A
Y001,ABSENTEE SHAWNEE-CITIZENS BAND OF POTAWATOMI TJSA,A
Y002,CADDO-WICHITA-DELAWARE TJSA,A
Y003,CHEROKEE TJSA,A
Y004,CHEYENNE-ARAPAHO TJSA,A
Y005,CHICKASAW TJSA,A
Y006,CHOCTAW TJSA,A
Y008,CREEK-SEMINOLE JOINT AREA TJSA,A
Y009,IOWA TJSA,A
Y010,IOWA-SAC AND FOX JOINT AREA TJSA,A
Y011,KAW TJSA,A
Y012,KIOWA-COMANCHE-APACHE-FORT SILL APACHE TJSA,A
Y013,OTOE-MISSOURIA TJSA,A
Y014,PAWNEE TJSA,A
Y015,SAC AND FOX TJSA,A
Y016,SEMINOLE TJSA,A
Z002,AFOGNAK,A
Z004,AKHIOK,A
Z005,AKIACHAK,A
Z006,AKIAK,A
Z007,AKUTAN,A
Z008,ALAKANUK,A
Z010,ALATNA,A
Z011,ALEKNAGIK,A
Z013,ALLAKAKET,A
Z014,AMBLER,A
Z016,ANAKTUVUK PASS,A
Z019,ANDREAFSKI,A
Z020,ANGOON,A
Z021,ANIAK,A
Z022,ANVIK,A
Z025,ARCTIC VILLAGE,A
Z027,ATKA,A
Z028,ATQASUK (ATKASOOK),A
Z029,ATMAUTLUAK,A
Z033,BARROW,A
Z038,BEAVER,A
Z041,BELKOFSKI,A
Z043,BETHEL,A
Z047,BILL MOORE'S SLOUGH,A
Z049,BIRCH CREEK,A
Z056,BREVIG MISSION,A
Z059,BUCKLAND,A
Z065,CANTWELL,A
Z072,CHALKYITSIK,A
Z077,CHEFORNAK,A
Z080,CHEVAK,A
Z081,CHICKALOON,A
Z083,CHIGNIK,A
Z084,CHIGNIK LAGOON,A
Z085,CHIGNIK LAKE,A
Z087,CHISTOCHINA,A
Z088,CHITINA,A
Z092,CHULOONAWICK,A
Z093,CIRCLE,A
Z096,CLARK'S POINT,A
Z102,COPPER CENTER,A
Z107,COUNCIL,A
Z108,CRAIG,A
Z109,CROOKED CREEK,A
Z117,DEERING,A
Z121,CURYUNG,A
Z127,DOT LAKE,A
Z128,DOUGLAS,A
Z130,EAGLE,A
Z132,EEK,A
Z133,EGEGIK,A
Z135,EKLUTNA,A
Z136,EKUK,A
Z137,EKWOK,A
Z139,ELEM,A
Z141,EMMONAK,A
Z142,ENGLISH BAY,A
Z146,EVANSVILLE,A
Z148,EYAK,A
Z149,FALSE PASS,A
Z162,FORT YUKON,A
Z165,GAKONA,A
Z167,GAMBELL,A
Z170,GEORGETOWN,A
Z177,GOLOVIN,A
Z183,GRAYLING,A
Z185,GULKANA,A
Z186,CHILKOOT,A
Z189,HAMILTON,A
Z195,HOLY CROSS,A
Z198,HOONAH,A
Z199,HOOPER BAY,A
Z205,HUGHES,A
Z210,HUSLIA,A
Z211,HYDABURG,A
Z214,IGIUGIG,A
Z216,ILIAMNA,A
Z219,DIOMEDE,A
Z222,IVANOF BAY,A
Z229,KAKE,A
Z230,KAKTOVIK,A
Z232,KALSKAG,A
Z237,KARLUK,A
Z238,KASAAN,A
Z241,KASIGLUK,A
Z246,KENAITZE,A
Z248,KETCHIKAN,A
Z249,KIANA,A
Z252,KING COVE,A
Z253,KING ISLAND,A
Z255,KIPNUK,A
Z256,KIVALINA,A
Z257,KLAWOCK,A
Z259,CHILKAT,A
Z260,KNIK,A
Z261,KOBUK,A
Z264,KOKHANOK,A
Z266,KOLIGANEK,A
Z267,KONGIGANAK,A
Z268,KOTLIK,A
Z269,KOTZEBUE,A
Z270,KOYUK,A
Z271,KOYUKUK,A
Z275,KWETHLUK,A
Z276,KWIGILLINGOK,A
Z279,LARSEN BAY,A
Z283,LEVELOCK,A
Z288,LIME VILLAGE,A
Z290,GALENA,A
Z291,LOWER KALSKAG,A
Z294,MANLEY HOT SPRINGS,A
Z295,MANOKOTAK,A
Z297,MARSHALL,A
Z299,MARY'S IGLOO,A
Z303,MCGRATH,A
Z307,MEKORYUK,A
Z309,MENTASTA LAKE,A
Z314,MINTO,A
Z323,ASA'CARSARMIUT TRIBE,A
Z325,GOODNEWS BAY,A
Z330,NAKNEK,A
Z332,NAPAIMUTE,A
