NV,"Washoe Tribe of Nevada & California (Carson Colony, Dresslerville Colony, Woodfords Community, Stewart Community, & Washoe Ranches)"
AZ,"White Mountain Apache Tribe of the Fort Apache Reservation, Arizona"
OK,"Wichita and Affiliated Tribes (Wichita, Keechi, Waco & Tawakonie), Oklahoma"
CA,"Wilton Rancheria, California"
NE,Winnebago Tribe of Nebraska
NV,Winnemucca Indian Colony of Nevada
CA,"Wiyot Tribe, California"
OK,Wyandotte Nation
SD,Yankton Sioux Tribe of South Dakota
AZ,"Yavapai-Apache Nation of the Camp Verde Indian Reservation, Arizona"
AZ,Yavapai-Prescott Indian Tribe
NV,"Yerington Paiute Tribe of the Yerington Colony & Campbell Ranch, Nevada"
CA,"Yocha Dehe Wintun Nation, California"
NV,"Yomba Shoshone Tribe of the Yomba Reservation, Nevada"
TX,Ysleta del Sur Pueblo
CA,"Yurok Tribe of the Yurok Reservation, California"
NM,"Zuni Tribe of the Zuni Reservation, New Mexico"
AK,Native Village of Afognak
AK,Agdaagux Tribe of King Cove
AK,Native Village of Akhiok
AK,Akiachak Native Community
AK,Akiak Native Community
AK,Native Village of Akutan
AK,Village of Alakanuk
AK,Alatna Village
AK,Native Village of Aleknagik
AK,Algaaciq Native Village (St. Mary's)
AK,Allakaket Village
AK,Native Village of Ambler
AK,Village of Anaktuvuk Pass
AK,Yupiit of Andreafski
AK,Angoon Community Association
AK,Village of Aniak
AK,Anvik Village
AK,Arctic Village (See Native Village of Venetie Tribal Government)
AK,Asa'carsarmiut Tribe
AK,Native Village of Atka
AK,Village of Atmautluak
AK,Atqasuk Village (Atkasook)
AK,Native Village of Barrow Inupiat Traditional Government
AK,Beaver Village
AK,Native Village of Belkofski
AK,Village of Bill Moore's Slough
AK,Birch Creek Tribe
AK,Native Village of Brevig Mission
AK,Native Village of Buckland
AK,Native Village of Cantwell
AK,Native Village of Chenega (aka Chanega)
AK,Chalkyitsik Village
AK,Cheesh-Na Tribe
AK,Village of Chefornak
AK,Chevak Native Village
AK,Chickaloon Native Village
AK,Chignik Bay Tribal Council
AK,Native Village of Chignik Lagoon
AK,Chignik Lake Village
AK,Chilkat Indian Village (Klukwan)
AK,Chilkoot Indian Association (Haines)
AK,Chinik Eskimo Community (Golovin)
AK,Native Village of Chitina
AK,"Native Village of Chuathbaluk (Russian Mission, Kuskokwim)"
AK,Chuloonawick Native Village
AK,Circle Native Community
AK,Village of Clarks Point
AK,Native Village of Council
AK,Craig Tribal Association
AK,Village of Crooked Creek
AK,Curyung Tribal Council
AK,Native Village of Deering
AK,Native Village of Diomede (aka Inalik)
AK,Village of Dot Lake
AK,Douglas Indian Association
AK,Native Village of Eagle
AK,Native Village of Eek
AK,Egegik Village
AK,Eklutna Native Village
AK,Native Village of Ekuk
AK,Native Village of Ekwok
AK,Native Village of Elim
AK,Emmonak Village
AK,Evansville Village (aka Bettles Field)
AK,Native Village of Eyak (Cordova)
AK,Native Village of False Pass
AK,Native Village of Fort Yukon
AK,Native Village of Gakona
AK,Galena Village (aka Louden Village)
AK,Native Village of Gambell
AK,Native Village of Georgetown
AK,Native Village of Goodnews Bay
AK,Organized Village of Grayling (aka Holikachuk)
AK,Gulkana Village
AK,Native Village of Hamilton
AK,Healy Lake Village
AK,Holy Cross Village
AK,Hoonah Indian Association
AK,Native Village of Hooper Bay
AK,Hughes Village
AK,Huslia Village
AK,Hydaburg Cooperative Association
AK,Igiugig Village
AK,Village of Iliamna
AK,Inupiat Community of the Arctic Slope
AK,Iqurmuit Traditional Council
AK,Ivanof Bay Tribe
AK,Kaguyak Village
AK,Organized Village of Kake
AK,Kaktovik Village (aka Barter Island)
AK,Village of Kalskag
AK,Village of Kaltag
AK,Native Village of Kanatak
AK,Native Village of Karluk
AK,Organized Village of Kasaan
AK,Kasigluk Traditional Elders Council
AK,Kenaitze Indian Tribe
AK,Ketchikan Indian Corporation
AK,Native Village of Kiana
AK,King Island Native Community
AK,King Salmon Tribe
AK,Native Village of Kipnuk
AK,Native Village of Kivalina
AK,Klawock Cooperative Association
AK,Native Village of Kluti Kaah (aka Copper Center)
AK,Knik Tribe
AK,Native Village of Kobuk
AK,Kokhanok Village
AK,Native Village of Kongiganak
AK,Village of Kotlik
AK,Native Village of Kotzebue
AK,Native Village of Koyuk
AK,Koyukuk Native Village
AK,Organized Village of Kwethluk
AK,Native Village of Kwigillingok
AK,Native Village of Kwinhagak (aka Quinhagak)
AK,Native Village of Larsen Bay
AK,Levelock Village
AK,Lime Village
AK,Village of Lower Kalskag
AK,Manley Hot Springs Village
AK,Manokotak Village
AK,Native Village of Marshall (aka Fortuna Ledge)
AK,Native Village of Mary's Igloo
AK,McGrath Native Village
AK,Native Village of Mekoryuk
AK,Mentasta Traditional Council
AK,"Metlakatla Indian Community, Annette Island Reserve"
AK,Native Village of Minto
AK,Naknek Native Village
AK,Native Village of Nanwalek (aka English Bay)
AK,Native Village of Napaimute
AK,Native Village of Napakiak
AK,Native Village of Napaskiak
AK,Native Village of Nelson Lagoon
AK,Nenana Native Association
AK,New Koliganek Village Council
AK,New Stuyahok Village
AK,Newhalen Village
AK,Newtok Village
AK,Native Village of Nightmute
AK,Nikolai Village
AK,Native Village of Nikolski
AK,Ninilchik Village
AK,Native Village of Noatak
AK,Nome Eskimo Community
AK,Nondalton Village
AK,Noorvik Native Community
AK,Northway Village
AK,Native Village of Nuiqsut (aka Nooiksut)
AK,Nulato Village
AK,Nunakauyarmiut Tribe
AK,Native Village of Nunam Iqua
AK,Native Village of Nunapitchuk
AK,Village of Ohogamiut
AK,Alutiiq Tribe of Old Harbor
AK,Orutsararmiut Traditional Native Council
AK,Oscarville Traditional Village
AK,Native Village of Ouzinkie
AK,Native Village of Paimiut
AK,Pauloff Harbor Village
AK,Pedro Bay Village
AK,Native Village of Perryville
AK,Petersburg Indian Association
AK,Native Village of Pilot Point
AK,Pilot Station Traditional Village
AK,Native Village of Pitka's Point
AK,Platinum Traditional Village
AK,Native Village of Point Hope
AK,Native Village of Point Lay
AK,Native Village of Port Graham
AK,Native Village of Port Heiden
AK,Native Village of Port Lions
AK,Portage Creek Village (aka Ohgsenakale)
AK,Pribilof Islands Aleut Communities of St. Paul & St. George Islands
AK,Qagan Tayagungin Tribe of Sand Point Village
AK,Qawalangin Tribe of Unalaska
AK,Rampart Village
AK,Village of Red Devil
AK,Native Village of Ruby
AK,Saint George Island (See Pribilof Islands Aleut Communities of St. Paul & St. George Islands)
AK,Native Village of Saint Michael
AK,Saint Paul Island (See Pribilof Islands Aleut Communities of St. Paul & St. George Islands)
AK,Village of Salamatoff
AK,Native Village of Savoonga
AK,Organized Village of Saxman
